 339,44;  159,946;  162,638; 2513,000;-2,69158
 339,58;  155,237;  158,762; 2511,000;-3,52458
 339,73;  150,468;  154,758; 2519,333;-4,28992
 339,88;  184,854;  189,192; 2602,000;-4,33758
 340,02;  160,415;  165,654; 2592,667;-5,23825
 340,17;  159,876;  164,572; 2615,667;-4,69525
 340,32;  129,233;  133,093; 2742,000;-3,86058
 340,46;  143,290;  146,351; 2751,667;-3,06025
 340,61;  125,911;  129,070; 2985,667;-3,15825
 340,76;  141,401;  145,046; 2822,333;-3,64458
 340,90;  125,213;  128,879; 2809,000;-3,66658
 341,05;  158,214;  161,759; 2738,000;-3,54458
 341,20;  156,560;  159,760; 2728,667;-3,20025
 341,34;  162,678;  166,123; 2777,667;-3,44558
 341,49;  137,691;  141,102; 2759,333;-3,41092
 341,63;  149,474;  153,361; 2800,667;-3,88658
 341,78;  126,244;  129,725; 2728,667;-3,48158
 341,93;  156,351;  159,789; 2581,333;-3,43858
 342,07;  136,551;  139,912; 2570,000;-3,36125
 342,22;  184,340;  188,289; 2624,000;-3,94892
 342,37;  165,208;  169,201; 2617,333;-3,99325
 342,51;  175,177;  178,857; 2575,333;-3,67925
 342,66;  136,017;  139,746; 2537,000;-3,72925
 342,81;  141,707;  145,836; 2565,333;-4,12925
 342,95;  120,347;  123,587; 2571,000;-3,23925
 343,10;  143,206;  146,075; 2578,333;-2,86892
 343,25;  134,934;  137,389; 2559,333;-2,45492
 343,39;  175,577;  179,143; 2640,000;-3,56592
 343,54;  172,013;  175,105; 2668,333;-3,09158
 343,68;  187,572;  190,585; 2784,000;-3,01258
 343,83;  165,936;  167,756; 3718,333;-1,82025
 343,98;  166,073;  167,298; 8121,333;-1,22458
 344,12;  135,844;  136,425;12744,333;-0,58092
 344,27;  148,436;  149,316;16354,000;-0,88025
 344,42;  124,109;  125,253;16464,000;-1,14358
 344,56;  149,568;  150,669;16193,000;-1,10158
 344,71;  137,606;  138,982;16031,667;-1,37558
 344,86;  159,701;  161,755;15923,667;-2,05425
 345,00;  143,349;  146,367;15949,333;-3,01858
 345,15;  149,211;  152,448;16030,333;-3,23692
 345,29;  139,300;  142,512;16133,667;-3,21192
 345,44;  162,724;  165,732;16215,667;-3,00792
 345,59;  137,647;  141,079;16179,000;-3,43258
 345,73;  162,497;  165,700;16225,667;-3,20258
 345,88;  138,442;  142,078;16278,000;-3,63558
 346,03;  167,880;  171,542;16337,000;-3,66192
 346,17;  146,857;  148,762;16308,667;-1,90458
 346,32;  172,050;  169,409;16197,667; 2,64108
 346,47;  160,963;  149,471;16211,000;11,49175
 346,61;  187,111;  170,289;16308,667;16,82275
 346,76;  166,850;  151,982;16279,000;14,86808
 346,90;  182,303;  175,322;16269,000; 6,98108
 347,05;  173,842;  173,629;16106,000; 0,21242
 347,20;  189,343;  191,438;16108,000;-2,09492
 347,34;  184,059;  186,616;16058,667;-2,55758
 347,49;  190,618;  193,733;16061,333;-3,11458
 347,64;  171,598;  174,424;15975,667;-2,82558
 347,78;  179,469;  183,207;15786,333;-3,73792
 347,93;  143,769;  147,936;15456,667;-4,16658
 348,07;  175,165;  179,492;15242,667;-4,32658
 348,22;  153,002;  156,011;15077,333;-3,00892
 348,37;  192,504;  194,884;15017,667;-2,38058
 348,51;  172,898;  175,397;14877,000;-2,49825
 348,66;  185,920;  189,740;14786,000;-3,81992
 348,81;  158,807;  163,395;14962,333;-4,58825
 348,95;  168,161;  173,794;14853,667;-5,63258
 349,10;  152,322;  158,751;14754,667;-6,42892
 349,24;  169,169;  175,816;14418,333;-6,64725
 349,39;  147,669;  153,478;14319,333;-5,80925
 349,54;  175,964;  180,328;14227,333;-4,36392
 349,68;  164,167;  167,858;14249,667;-3,69092
 349,83;  179,609;  182,533;14236,333;-2,92325
 349,98;  158,656;  161,643;14247,667;-2,98758
 350,12;  169,415;  172,036;14213,667;-2,62058
 350,27;  150,297;  153,351;14417,667;-3,05425
 350,41;  161,264;  163,903;14757,333;-2,63825
 350,56;  137,561;  140,520;14828,667;-2,95858
 350,71;  162,275;  165,341;14810,333;-3,06558
 350,85;  141,272;  144,798;14664,667;-3,52592
 351,00;  172,391;  175,794;14802,000;-3,40292
 351,15;  155,804;  159,452;14969,000;-3,64792
 351,29;  177,877;  181,162;15197,333;-3,28492
 351,44;  151,573;  155,102;15276,000;-3,52892
 351,58;  166,739;  169,814;15454,667;-3,07458
 351,73;  141,450;  145,401;15334,667;-3,95092
 351,88;  165,735;  170,505;15396,333;-4,76958
 352,02;  144,290;  149,601;15289,000;-5,31158
 352,17;  170,686;  176,024;15422,333;-5,33758
 352,31;  160,454;  164,517;16387,000;-4,06292
 352,46;  183,740;  187,307;16443,000;-3,56625
 352,61;  164,324;  166,914;16398,000;-2,59058
 352,75;  171,224;  173,947;15377,000;-2,72225
 352,90;  150,712;  153,186;15205,667;-2,47358
 353,05;  173,650;  176,842;15102,000;-3,19192
 353,19;  143,689;  146,982;14993,333;-3,29292
 353,34;  166,192;  170,073;14945,667;-3,88092
 353,48;  145,128;  148,731;14841,667;-3,60225
 353,63;  185,830;  189,087;14893,333;-3,25658
 353,78;  170,100;  172,913;14937,333;-2,81325
 353,92;  181,728;  184,461;15009,000;-2,73325
 354,07;  145,842;  148,641;15089,667;-2,79825
 354,21;  155,717;  158,551;15153,000;-2,83358
 354,36;  149,246;  152,371;15216,333;-3,12558
 354,51;  184,056;  187,759;15257,667;-3,70292
 354,65;  168,625;  173,238;15556,333;-4,61325
 354,80;  181,402;  186,572;15805,333;-5,17058
 354,94;  151,628;  156,430;16100,333;-4,80258
 355,09;  172,648;  176,727;16838,000;-4,07925
 355,24;  152,639;  155,666;18450,666;-3,02625
 355,38;  179,047;  182,238;19916,000;-3,19058
 355,53;  157,531;  160,603;20167,000;-3,07192
 355,67;  191,941;  195,333;19006,334;-3,39192
 355,82;  172,769;  176,871;17977,334;-4,10158
 355,97;  209,931;  214,865;17717,666;-4,93458
 356,11;  190,666;  195,593;18138,334;-4,92658
 356,26;  204,935;  209,435;18637,666;-4,49925
 356,40;  180,058;  184,014;18941,334;-3,95592
 356,55;  186,128;  190,398;19401,666;-4,26992
 356,70;  180,051;  183,516;19547,334;-3,46558
 356,84;  208,194;  212,408;19383,666;-4,21358
 356,99;  193,735;  197,922;18738,666;-4,18692
 357,13;  207,896;  212,900;18257,000;-5,00425
 357,28;  184,984;  189,450;17967,334;-4,46625
 357,43;  202,033;  207,100;17884,000;-5,06692
 357,57;  192,744;  197,984;17822,334;-5,23958
 357,72;  202,402;  208,156;17717,666;-5,75392
 357,86;  196,626;  201,559;17638,334;-4,93292
 358,01;  220,213;  224,303;17516,666;-4,08958
 358,16;  211,846;  214,304;17457,666;-2,45825
 358,30;  225,848;  227,670;17490,000;-1,82192
 358,45;  197,508;  199,725;17518,334;-2,21625
 358,59;  217,066;  219,221;17670,666;-2,15458
 358,74;  211,431;  214,075;17874,000;-2,64458
 358,89;  219,625;  222,170;18038,000;-2,54425
 359,03;  200,715;  204,241;18049,000;-3,52625
 359,18;  207,308;  210,621;18105,666;-3,31325
 359,32;  199,472;  203,340;18325,666;-3,86858
 359,47;  221,468;  225,032;18760,666;-3,56425
 359,62;  211,346;  215,328;19207,334;-3,98258
 359,76;  232,778;  236,113;19544,334;-3,33458
 359,91;  221,367;  225,158;19910,000;-3,79025
 360,05;  225,709;  229,409;20110,000;-3,70025
