 339,44;  163,362;  162,678; 2513,000; 0,68378
 339,58;  159,052;  157,486; 2511,000; 1,56611
 339,73;  154,607;  152,043; 2519,333; 2,56378
 339,88;  188,678;  186,205; 2602,000; 2,47311
 340,02;  164,498;  161,941; 2592,667; 2,55711
 340,17;  163,263;  161,316; 2615,667; 1,94678
 340,32;  132,397;  129,979; 2742,000; 2,41844
 340,46;  145,784;  143,757; 2751,667; 2,02678
 340,61;  128,441;  126,179; 2985,667; 2,26211
 340,76;  143,316;  141,853; 2822,333; 1,46244
 340,90;  127,896;  126,015; 2809,000; 1,88044
 341,05;  160,911;  159,060; 2738,000; 1,85111
 341,20;  159,887;  157,606; 2728,667; 2,28111
 341,34;  165,816;  163,712; 2777,667; 2,10444
 341,49;  140,983;  138,550; 2759,333; 2,43278
 341,63;  152,479;  150,235; 2800,667; 2,24444
 341,78;  129,076;  126,247; 2728,667; 2,82944
 341,93;  159,208;  156,483; 2581,333; 2,72511
 342,07;  139,313;  137,066; 2570,000; 2,24778
 342,22;  187,656;  185,729; 2624,000; 1,92778
 342,37;  169,173;  167,695; 2617,333; 1,47811
 342,51;  179,794;  177,917; 2575,333; 1,87711
 342,66;  140,768;  138,825; 2537,000; 1,94311
 342,81;  146,447;  144,013; 2565,333; 2,43411
 342,95;  124,217;  121,550; 2571,000; 2,66678
 343,10;  146,387;  143,412; 2578,333; 2,97544
 343,25;  136,943;  134,189; 2559,333; 2,75444
 343,39;  178,071;  174,970; 2640,000; 3,10111
 343,54;  173,613;  171,429; 2668,333; 2,18478
 343,68;  189,671;  187,545; 2784,000; 2,12644
 343,83;  168,215;  166,103; 3718,333; 2,11211
 343,98;  175,445;  166,084; 8121,333; 9,36078
 344,12;  151,281;  135,334;12744,333;15,94711
 344,27;  169,475;  147,359;16354,000;22,11644
 344,42;  144,560;  122,037;16464,000;22,52278
 344,56;  169,302;  146,895;16193,000;22,40678
 344,71;  157,535;  134,227;16031,667;23,30844
 344,86;  180,748;  157,361;15923,667;23,38678
 345,00;  165,687;  141,484;15949,333;24,20311
 345,15;  171,687;  148,110;16030,333;23,57711
 345,29;  161,838;  138,614;16133,667;23,22411
 345,44;  185,429;  162,810;16215,667;22,61911
 345,59;  160,954;  137,797;16179,000;23,15711
 345,73;  185,277;  162,241;16225,667;23,03544
 345,88;  160,935;  137,560;16278,000;23,37544
