 339,44;  163,498;  161,913; 2513,000; 1,58536
 339,58;  158,412;  156,817; 2511,000; 1,59536
 339,73;  153,638;  151,972; 2519,333; 1,66603
 339,88;  187,071;  186,053; 2602,000; 1,01803
 340,02;  162,518;  162,207; 2592,667; 0,31136
 340,17;  160,616;  161,236; 2615,667;-0,61997
 340,32;  129,958;  130,072; 2742,000;-0,11331
 340,46;  144,297;  144,209; 2751,667; 0,08836
 340,61;  128,063;  127,166; 2985,667; 0,89669
 340,76;  144,330;  143,077; 2822,333; 1,25236
 340,90;  128,565;  126,690; 2809,000; 1,87536
 341,05;  161,966;  159,942; 2738,000; 2,02336
 341,20;  159,944;  158,170; 2728,667; 1,77436
 341,34;  165,946;  164,472; 2777,667; 1,47369
 341,49;  140,043;  138,258; 2759,333; 1,78469
 341,63;  151,756;  149,706; 2800,667; 2,05003
 341,78;  127,583;  125,937; 2728,667; 1,64603
 341,93;  157,778;  156,542; 2581,333; 1,23536
 342,07;  138,225;  136,965; 2570,000; 1,26036
 342,22;  187,522;  185,316; 2624,000; 2,20669
 342,37;  168,824;  166,746; 2617,333; 2,07769
 342,51;  178,517;  176,604; 2575,333; 1,91236
 342,66;  139,108;  137,671; 2537,000; 1,43636
 342,81;  144,555;  143,374; 2565,333; 1,18036
 342,95;  122,547;  121,841; 2571,000; 0,70636
 343,10;  144,709;  144,254; 2578,333; 0,45503
 343,25;  135,641;  135,645; 2559,333;-0,00397
 343,39;  177,422;  177,219; 2640,000; 0,20336
 343,54;  173,680;  173,166; 2668,333; 0,51403
 343,68;  190,883;  188,896; 2784,000; 1,98769
 343,83;  169,059;  166,130; 3718,333; 2,92936
 343,98;  170,234;  166,760; 8121,333; 3,47369
 344,12;  139,276;  136,059;12744,333; 3,21769
 344,27;  152,479;  148,863;16354,000; 3,61603
 344,42;  127,197;  123,113;16464,000; 4,08403
 344,56;  152,241;  147,866;16193,000; 4,37503
 344,71;  139,179;  135,210;16031,667; 3,96869
 344,86;  161,793;  158,386;15923,667; 3,40703
 345,00;  146,343;  143,350;15949,333; 2,99303
 345,15;  153,099;  150,029;16030,333; 3,07003
 345,29;  143,321;  140,245;16133,667; 3,07569
 345,44;  166,920;  164,051;16215,667; 2,86869
 345,59;  141,499;  139,360;16179,000; 2,13903
 345,73;  165,400;  164,760;16225,667; 0,64069
 345,88;  140,375;  140,416;16278,000;-0,04097
 346,03;  169,379;  169,623;16337,000;-0,24464
 346,17;  146,486;  146,306;16308,667; 0,17936
 346,32;  167,639;  167,512;16197,667; 0,12669
 346,47;  148,287;  148,013;16211,000; 0,27436
 346,61;  169,767;  169,156;16308,667; 0,61103
 346,76;  152,199;  150,480;16279,000; 1,71903
 346,90;  177,151;  174,167;16269,000; 2,98436
 347,05;  175,939;  172,541;16106,000; 3,39803
 347,20;  194,042;  190,277;16108,000; 3,76503
 347,34;  188,085;  185,223;16058,667; 2,86203
 347,49;  194,910;  191,473;16061,333; 3,43669
 347,64;  175,066;  172,015;15975,667; 3,05036
 347,78;  183,139;  180,322;15786,333; 2,81736
 347,93;  147,471;  144,594;15456,667; 2,87669
 348,07;  179,337;  176,248;15242,667; 3,08836
 348,22;  156,163;  152,787;15077,333; 3,37603
 348,37;  195,223;  192,417;15017,667; 2,80536
 348,51;  174,938;  173,167;14877,000; 1,77136
 348,66;  189,032;  188,162;14786,000; 0,86969
 348,81;  161,703;  161,843;14962,333;-0,13964
 348,95;  171,502;  172,124;14853,667;-0,62164
 349,10;  155,931;  156,192;14754,667;-0,26097
 349,24;  173,514;  173,312;14418,333; 0,20236
 349,39;  151,571;  150,475;14319,333; 1,09603
 349,54;  179,481;  178,116;14227,333; 1,36503
 349,68;  167,567;  165,792;14249,667; 1,77503
 349,83;  183,315;  181,086;14236,333; 2,22903
 349,98;  162,537;  159,790;14247,667; 2,74703
 350,12;  173,782;  170,505;14213,667; 3,27669
 350,27;  155,130;  151,898;14417,667; 3,23236
 350,41;  165,237;  162,673;14757,333; 2,56469
 350,56;  141,318;  138,429;14828,667; 2,88903
 350,71;  165,761;  162,989;14810,333; 2,77203
 350,85;  145,486;  141,927;14664,667; 3,55869
 351,00;  176,515;  173,431;14802,000; 3,08469
 351,15;  159,880;  157,012;14969,000; 2,86869
 351,29;  181,456;  179,449;15197,333; 2,00669
 351,44;  155,233;  153,815;15276,000; 1,41803
 351,58;  169,968;  169,225;15454,667; 0,74336
 351,73;  145,006;  145,385;15334,667;-0,37831
 351,88;  168,964;  169,957;15396,333;-0,99364
 352,02;  148,021;  148,649;15289,000;-0,62831
 352,17;  175,053;  174,560;15422,333; 0,49369
 352,31;  164,437;  163,029;16387,000; 1,40803
 352,46;  187,780;  185,778;16443,000; 2,00203
 352,61;  168,241;  165,165;16398,000; 3,07636
 352,75;  175,990;  171,777;15377,000; 4,21336
 352,90;  155,764;  150,945;15205,667; 4,81869
 353,05;  178,889;  174,302;15102,000; 4,58769
 353,19;  148,880;  144,902;14993,333; 3,97803
 353,34;  171,717;  168,212;14945,667; 3,50436
 353,48;  150,258;  146,701;14841,667; 3,55669
 353,63;  190,401;  187,150;14893,333; 3,25103
 353,78;  173,712;  170,356;14937,333; 3,35569
 353,92;  186,111;  182,519;15009,000; 3,59236
 354,07;  150,007;  146,156;15089,667; 3,85136
 354,21;  160,031;  156,634;15153,000; 3,39703
 354,36;  152,336;  150,134;15216,333; 2,20136
 354,51;  187,804;  186,136;15257,667; 1,66736
 354,65;  172,670;  171,876;15556,333; 0,79403
 354,80;  186,101;  185,514;15805,333; 0,58736
 354,94;  155,239;  155,635;16100,333;-0,39631
 355,09;  175,893;  175,978;16838,000;-0,08431
 355,24;  155,496;  154,802;18450,666; 0,69436
 355,38;  183,132;  180,786;19916,000; 2,34669
 355,53;  162,127;  158,759;20167,000; 3,36769
 355,67;  197,405;  193,106;19006,334; 4,29903
 355,82;  179,074;  174,393;17977,334; 4,68069
 355,97;  216,705;  211,641;17717,666; 5,06403
 356,11;  197,237;  192,894;18138,334; 4,34269
 356,26;  210,668;  207,046;18637,666; 3,62203
 356,40;  185,446;  182,327;18941,334; 3,11936
 356,55;  191,250;  188,222;19401,666; 3,02836
 356,70;  184,354;  181,194;19547,334; 3,16036
 356,84;  212,716;  209,219;19383,666; 3,49703
 356,99;  198,163;  194,632;18738,666; 3,53069
 357,13;  213,071;  209,687;18257,000; 3,38369
 357,28;  189,636;  187,119;17967,334; 2,51703
 357,43;  206,863;  205,415;17884,000; 1,44803
 357,57;  197,158;  197,003;17822,334; 0,15503
 357,72;  206,610;  207,366;17717,666;-0,75597
 357,86;  200,323;  200,802;17638,334;-0,47831
 358,01;  223,906;  223,455;17516,666; 0,45136
 358,16;  215,250;  213,433;17457,666; 1,81636
 358,30;  229,472;  227,084;17490,000; 2,38836
 358,45;  201,666;  198,291;17518,334; 3,37503
 358,59;  221,880;  217,254;17670,666; 4,62569
 358,74;  216,325;  211,096;17874,000; 5,22869
 358,89;  224,447;  219,158;18038,000; 5,28936
 359,03;  205,268;  201,146;18049,000; 4,12203
 359,18;  211,909;  207,785;18105,666; 4,12369
 359,32;  203,656;  200,246;18325,666; 3,41036
 359,47;  225,639;  221,958;18760,666; 3,68069
 359,62;  215,394;  212,521;19207,334; 2,87269
 359,76;  236,724;  233,946;19544,334; 2,77769
 359,91;  225,550;  222,853;19910,000; 2,69703
 360,05;  229,874;  226,658;20110,000; 3,21636
 360,20;  218,718;  215,974;20533,334; 2,74436
 360,35;  234,147;  232,193;20989,334; 1,95403
 360,49;  217,114;  215,632;21992,000; 1,48203
 360,64;  228,330;  227,011;22610,334; 1,31869
 360,78;  194,086;  192,727;22804,334; 1,35869
 360,93;  224,616;  223,688;22150,000; 0,92836
 361,07;  215,444;  213,932;21471,334; 1,51236
 361,22;  248,674;  246,550;21130,666; 2,12369
 361,37;  237,263;  234,369;20996,334; 2,89436
 361,51;  250,012;  246,620;20761,334; 3,39203
 361,66;  234,094;  229,856;20289,334; 4,23769
 361,80;  244,785;  239,851;19890,666; 4,93403
 361,95;  226,965;  221,973;19740,334; 4,99169
 362,10;  249,288;  245,431;19894,000; 3,85636
 362,24;  237,488;  234,400;20224,000; 3,08836
 362,39;  260,261;  258,264;20744,000; 1,99769
 362,53;  236,122;  233,655;20828,000; 2,46703
 362,68;  253,269;  251,007;21252,666; 2,26136
 362,82;  229,267;  226,161;20746,666; 3,10636
 362,97;  246,964;  243,977;20625,000; 2,98669
 363,12;  219,643;  216,038;20433,666; 3,60569
 363,26;  241,918;  238,645;21085,666; 3,27303
 363,41;  213,042;  210,278;21460,000; 2,76336
 363,55;  245,963;  244,001;21239,666; 1,96169
 363,70;  228,632;  226,671;20833,000; 1,96169
 363,85;  250,234;  248,845;20762,000; 1,38903
 363,99;  231,860;  230,506;20941,334; 1,35403
 364,14;  236,983;  236,146;21239,666; 0,83703
