Description	
Number of Runs	500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
125	1000	656	1	11/25/11 05:27:58 AM	
126	1000	658	1	11/25/11 05:27:59 AM	
127	1000	643	1	11/25/11 05:28:00 AM	
128	1000	657	1	11/25/11 05:28:01 AM	
129	1000	644	1	11/25/11 05:28:02 AM	
130	1000	603	1	11/25/11 05:28:04 AM	
131	1000	623	1	11/25/11 05:28:05 AM	
132	1000	678	1	11/25/11 05:28:06 AM	
133	1000	643	1	11/25/11 05:28:07 AM	
134	1000	638	1	11/25/11 05:28:09 AM	
135	1000	681	1	11/25/11 05:28:10 AM	
136	1000	607	1	11/25/11 05:28:11 AM	
137	1000	654	1	11/25/11 05:28:12 AM	
138	1000	626	1	11/25/11 05:28:13 AM	
139	1000	626	1	11/25/11 05:28:15 AM	
140	1000	655	1	11/25/11 05:28:16 AM	
141	1000	643	1	11/25/11 05:28:17 AM	
142	1000	631	1	11/25/11 05:28:18 AM	
143	1000	625	1	11/25/11 05:28:19 AM	
144	1000	637	1	11/25/11 05:28:21 AM	
145	1000	613	1	11/25/11 05:28:22 AM	
146	1000	658	1	11/25/11 05:28:23 AM	
147	1000	612	1	11/25/11 05:28:24 AM	
148	1000	650	1	11/25/11 05:28:26 AM	
149	1000	688	1	11/25/11 05:28:27 AM	
150	1000	652	1	11/25/11 05:28:28 AM	
151	1000	611	1	11/25/11 05:28:29 AM	
152	1000	657	1	11/25/11 05:28:30 AM	
153	1000	614	1	11/25/11 05:28:32 AM	
154	1000	670	1	11/25/11 05:28:33 AM	
155	1000	648	1	11/25/11 05:28:34 AM	
156	1000	648	1	11/25/11 05:28:35 AM	
157	1000	616	1	11/25/11 05:28:37 AM	
158	1000	661	1	11/25/11 05:28:38 AM	
159	1000	639	1	11/25/11 05:28:39 AM	
160	1000	663	1	11/25/11 05:28:40 AM	
161	1000	616	1	11/25/11 05:28:42 AM	
162	1000	635	1	11/25/11 05:28:43 AM	
163	1000	626	1	11/25/11 05:28:44 AM	
164	1000	665	1	11/25/11 05:28:45 AM	
165	1000	637	1	11/25/11 05:28:46 AM	
166	1000	671	1	11/25/11 05:28:47 AM	
167	1000	648	1	11/25/11 05:28:49 AM	
168	1000	619	1	11/25/11 05:28:50 AM	
169	1000	670	1	11/25/11 05:28:51 AM	
170	1000	630	1	11/25/11 05:28:52 AM	
171	1000	644	1	11/25/11 05:28:54 AM	
172	1000	694	1	11/25/11 05:28:55 AM	
173	1000	678	1	11/25/11 05:28:56 AM	
174	1000	650	1	11/25/11 05:28:57 AM	
175	1000	652	1	11/25/11 05:28:58 AM	
176	1000	661	1	11/25/11 05:29:00 AM	
177	1000	648	1	11/25/11 05:29:01 AM	
178	1000	647	1	11/25/11 05:29:02 AM	
179	1000	646	1	11/25/11 05:29:03 AM	
180	1000	643	1	11/25/11 05:29:04 AM	
181	1000	686	1	11/25/11 05:29:06 AM	
182	1000	662	1	11/25/11 05:29:07 AM	
183	1000	605	1	11/25/11 05:29:08 AM	
184	1000	633	1	11/25/11 05:29:09 AM	
185	1000	630	1	11/25/11 05:29:11 AM	
186	1000	655	1	11/25/11 05:29:12 AM	
187	1000	670	1	11/25/11 05:29:13 AM	
188	1000	624	1	11/25/11 05:29:14 AM	
189	1000	625	1	11/25/11 05:29:15 AM	
190	1000	642	1	11/25/11 05:29:17 AM	
191	1000	654	1	11/25/11 05:29:18 AM	
192	1000	664	1	11/25/11 05:29:19 AM	
193	1000	686	1	11/25/11 05:29:20 AM	
194	1000	622	1	11/25/11 05:29:22 AM	
195	1000	657	1	11/25/11 05:29:23 AM	
196	1000	606	1	11/25/11 05:29:24 AM	
197	1000	633	1	11/25/11 05:29:25 AM	
198	1000	646	1	11/25/11 05:29:26 AM	
199	1000	655	1	11/25/11 05:29:28 AM	
200	1000	646	1	11/25/11 05:29:29 AM	
201	1000	658	1	11/25/11 05:29:30 AM	
202	1000	631	1	11/25/11 05:29:31 AM	
203	1000	641	1	11/25/11 05:29:33 AM	
204	1000	656	1	11/25/11 05:29:34 AM	
205	1000	659	1	11/25/11 05:29:35 AM	
206	1000	644	1	11/25/11 05:29:36 AM	
207	1000	612	1	11/25/11 05:29:37 AM	
208	1000	608	1	11/25/11 05:29:38 AM	
209	1000	646	1	11/25/11 05:29:40 AM	
210	1000	672	1	11/25/11 05:29:41 AM	
211	1000	655	1	11/25/11 05:29:42 AM	
212	1000	645	1	11/25/11 05:29:43 AM	
213	1000	635	1	11/25/11 05:29:45 AM	
214	1000	641	1	11/25/11 05:29:46 AM	
215	1000	690	1	11/25/11 05:29:47 AM	
216	1000	583	1	11/25/11 05:29:48 AM	
217	1000	661	1	11/25/11 05:29:49 AM	
218	1000	648	1	11/25/11 05:29:51 AM	
219	1000	643	1	11/25/11 05:29:52 AM	
220	1000	635	1	11/25/11 05:29:53 AM	
221	1000	618	1	11/25/11 05:29:54 AM	
222	1000	648	1	11/25/11 05:29:56 AM	
223	1000	633	1	11/25/11 05:29:57 AM	
224	1000	662	1	11/25/11 05:29:58 AM	
225	1000	635	1	11/25/11 05:29:59 AM	
226	1000	671	1	11/25/11 05:30:01 AM	
227	1000	660	1	11/25/11 05:30:02 AM	
228	1000	655	1	11/25/11 05:30:03 AM	
229	1000	687	1	11/25/11 05:30:04 AM	
230	1000	609	1	11/25/11 05:30:06 AM	
231	1000	659	1	11/25/11 05:30:07 AM	
232	1000	661	1	11/25/11 05:30:08 AM	
233	1000	640	1	11/25/11 05:30:09 AM	
234	1000	651	1	11/25/11 05:30:10 AM	
235	1000	630	1	11/25/11 05:30:12 AM	
236	1000	636	1	11/25/11 05:30:13 AM	
237	1000	638	1	11/25/11 05:30:14 AM	
238	1000	684	1	11/25/11 05:30:15 AM	
239	1000	628	1	11/25/11 05:30:16 AM	
240	1000	630	1	11/25/11 05:30:18 AM	
241	1000	644	1	11/25/11 05:30:19 AM	
242	1000	645	1	11/25/11 05:30:20 AM	
243	1000	612	1	11/25/11 05:30:21 AM	
244	1000	643	1	11/25/11 05:30:23 AM	
245	1000	654	1	11/25/11 05:30:24 AM	
246	1000	642	1	11/25/11 05:30:25 AM	
247	1000	661	1	11/25/11 05:30:26 AM	
248	1000	663	1	11/25/11 05:30:28 AM	
249	1000	660	1	11/25/11 05:30:29 AM	
250	1000	642	1	11/25/11 05:30:30 AM	
251	1000	665	1	11/25/11 05:30:31 AM	
252	1000	613	1	11/25/11 05:30:33 AM	
253	1000	657	1	11/25/11 05:30:34 AM	
